"","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths"
"24",0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0
"25",0,0,0,1,1,2,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,0,2,0,0,2,1,0,0,0,3,1,0,0
"26",0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,2,1,1,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
"27",0,1,2,0,0,0,2,1,1,1,0,0,1,2,3,0,0,0,1,1,0,2,3,1,3,0,0,1,0,1,2,0,0,0,1,1,2,1,2,2,0,0,0,2,4,3,1,0,0,0,0
"28",0,0,1,3,1,2,1,4,3,1,0,0,2,1,1,2,3,2,1,0,0,0,0,2,1,2,0,1,0,0,2,1,2,2,0,2,0,2,1,0,1,3,0,0,0,2,0,1,1,0,0
"29",0,3,1,1,1,1,1,0,1,1,0,0,1,0,1,2,1,2,1,4,1,2,2,1,1,3,0,2,0,2,0,0,1,0,3,2,0,2,1,2,1,1,2,1,3,1,5,0,2,0,2
"30",0,0,1,2,1,1,4,0,0,2,2,0,2,0,3,1,1,0,0,4,0,2,4,4,0,2,1,0,0,1,0,6,1,2,2,1,3,2,4,2,0,1,2,0,0,1,1,2,1,1,4
"31",1,6,2,5,5,8,2,3,4,1,7,1,2,1,3,5,1,2,6,2,5,1,6,1,1,5,2,5,4,1,4,2,4,4,3,7,2,7,2,4,1,6,3,5,1,1,3,3,1,2,4
"32",0,0,2,2,1,3,2,3,1,3,3,0,0,0,4,2,2,0,4,4,5,0,9,2,3,1,0,2,1,2,8,5,0,0,4,1,1,3,2,2,0,9,3,0,0,2,1,4,2,0,8
"33",0,13,0,2,5,8,7,6,1,0,1,0,3,0,3,3,6,7,2,10,3,0,19,5,0,2,0,7,1,2,0,4,2,0,4,0,1,4,2,1,1,1,6,0,3,0,2,3,4,1,14
"34",0,4,2,3,5,4,2,1,2,5,11,2,4,3,7,8,3,13,4,10,13,2,18,1,2,4,2,6,0,1,1,7,0,5,6,7,1,12,3,2,0,12,5,0,7,0,3,1,0,1,7
"35",0,5,2,4,1,16,6,2,0,0,0,0,7,2,8,6,1,3,15,9,5,2,31,4,3,2,2,7,1,2,1,17,1,0,4,7,0,7,8,4,0,5,4,4,0,1,2,2,2,0,29
"36",0,6,0,5,6,0,6,0,0,5,7,1,0,3,13,1,3,6,11,4,7,2,19,2,4,4,0,4,1,0,0,18,0,11,11,4,3,9,2,4,2,9,7,1,7,3,1,5,6,0,27
"37",0,6,2,3,9,22,1,3,1,6,8,0,2,6,19,3,4,5,19,8,11,1,21,5,3,3,0,7,2,0,2,19,3,5,15,4,2,13,3,5,4,3,8,0,7,1,4,2,2,0,47
"38",0,1,0,9,11,0,2,5,1,6,8,1,2,1,7,14,5,0,18,33,13,2,52,1,8,6,0,8,0,3,7,27,1,7,10,4,1,11,5,3,4,12,9,0,7,0,6,11,1,0,41
"39",0,4,3,11,15,11,33,6,3,19,16,2,2,2,26,16,8,20,36,33,24,0,75,4,11,8,0,13,0,0,0,32,2,5,16,4,2,16,8,6,0,7,12,0,5,3,2,13,4,-1,73
"40",0,15,0,12,16,17,16,9,4,2,5,0,3,0,42,13,0,0,18,32,12,0,76,5,3,8,0,10,0,1,5,21,7,3,10,5,1,12,0,4,0,8,11,2,6,2,6,3,1,-1,119
"41",0,2,4,1,13,14,27,3,9,7,11,0,7,6,22,24,13,8,14,38,21,1,82,11,18,9,1,7,4,3,1,37,0,0,11,16,0,34,13,4,0,14,23,0,0,1,0,20,0,-1,127
"42",0,4,2,8,16,29,19,2,1,22,7,0,0,6,47,14,1,17,34,24,14,4,62,7,21,7,1,6,1,0,0,69,5,0,17,12,5,15,7,3,3,4,16,3,14,0,3,4,2,-1,143
"43",0,10,2,7,14,10,34,15,2,2,24,0,8,2,34,11,6,0,54,15,33,3,61,7,7,9,0,0,1,4,4,88,5,26,23,1,0,28,0,0,5,8,20,2,0,0,8,14,0,-1,290
"44",0,12,3,9,22,29,24,5,6,77,28,0,4,0,30,16,7,7,34,29,35,2,77,6,6,6,0,5,0,5,0,182,0,0,25,8,2,68,17,16,2,0,14,2,0,0,7,8,4,-1,245
"45",0,1,1,8,27,14,17,9,2,6,24,1,7,2,33,30,2,16,37,96,30,3,110,0,17,11,0,18,0,0,6,109,8,9,26,6,4,71,0,5,0,3,10,1,43,1,0,11,0,-1,332
"46",0,6,4,11,26,0,71,5,3,25,21,0,4,1,1,30,9,0,60,77,26,2,118,9,2,3,0,18,6,5,3,200,9,9,20,2,11,27,7,8,3,15,29,4,12,1,19,17,3,-1,417
"47",0,15,0,7,39,33,49,5,9,26,17,0,10,1,154,42,2,2,39,70,40,1,114,8,5,2,0,20,0,9,2,71,2,12,18,3,0,73,31,2,0,0,21,0,9,2,9,9,5,-1,486
"48",0,4,1,7,27,24,54,5,6,15,10,0,1,3,0,55,3,14,68,96,9,1,117,0,26,13,0,27,2,3,0,86,3,10,16,9,4,85,19,0,0,12,28,3,11,1,11,7,2,-1,548
"49",0,15,1,9,24,39,68,9,6,47,18,0,4,3,135,30,8,8,35,87,8,3,200,24,4,11,0,10,2,0,7,229,0,2,6,15,4,54,13,15,5,5,28,4,8,1,3,10,0,-1,753
"50",0,15,2,11,59,17,46,7,0,26,100,0,4,3,80,13,9,7,70,70,15,5,108,10,16,7,0,13,0,6,0,272,13,12,21,8,1,32,5,9,0,1,17,2,5,0,12,16,0,-1,819
"51",-1,5,1,8,32,21,60,15,5,45,33,0,7,0,43,7,7,2,70,88,87,3,95,13,15,11,0,18,1,0,0,205,7,5,50,5,2,102,16,5,4,6,22,0,41,4,7,13,0,-1,800
"52",-1,4,0,19,52,1,48,12,10,36,17,0,6,2,78,37,3,8,50,0,40,0,123,9,13,12,0,27,2,0,0,223,6,6,38,0,3,88,10,5,1,4,37,0,13,2,17,14,2,-1,795
"53",-1,6,3,11,63,27,69,14,7,48,37,0,11,0,70,49,1,17,53,264,121,3,166,17,2,7,0,20,2,0,12,251,9,5,45,4,6,62,8,3,0,5,33,0,23,3,17,9,1,-1,1055
"54",-1,20,2,4,49,17,197,12,3,23,13,0,5,0,81,41,5,14,51,0,70,1,153,19,1,10,0,16,0,14,9,167,6,9,11,3,6,80,13,1,0,0,39,4,27,0,7,6,1,-1,953
"55",-1,13,1,7,39,17,103,13,8,38,4,0,6,4,123,45,2,6,34,137,46,0,75,21,24,14,0,13,2,3,3,93,0,7,33,21,2,121,13,3,0,14,37,1,19,0,31,8,0,-1,1028
